"8-15mm f/4L USM fisheye","1473704@N24"
"16-35mm f/2.8L II USM","1007026@N21"
"16-35mm f/4L IS USM","2677176@N23"
"24-70mm f/2.8L II USM","2121875@N22"
"24-70mm f/4L IS USM","2167585@N22"
"24-105mm f/4.0L IS USM","14831593@N00"
"70-200mm f/4.0L USM","447521@N24"
"70-200mm f/4.0L IS USM","24978006@N00"
"70-200mm f/2.8L USM","724708@N23"
"70-200mm f/2.8L IS II USM","1398937@N22"
"70-300mm f/4-5.6L IS USM","1462201@N25"
"100-400mm f/4.5-5.6L IS USM","81265875@N00"
"14mm f/2.8L II USM","1057185@N22"
"24mm f/1.4L II USM","903463@N23"
"35mm f/1.4L USM","27449914@N00"
"50mm f/1.2L USM","20778516@N00"
"85mm f/1.2L II USM","688263@N23"
"135mm f/2.0L USM","625952@N23"
"200mm f/2.0L IS USM","709499@N25"
"200mm f/2.8L II USM","81388246@N00"
"300mm f/2.8L IS II USM","466600@N20"
"300mm f/4.0L IS USM","44073323@N00"
"400mm f/2.8L IS II USM","1482489@N20"
"400mm f/5.6L USM","24121876@N00"
"800mm f/5.6L IS USM","991764@N24"
"100mm f/2.8L Macro IS USM","37879325@N00"
"17mm f/4.0L Tilt-Shift","1063267@N24"
"24mm f/3.5L II Tilt-Shift","1030703@N20"
"EF-S 10-22mm f/3.5-4.5 USM","29468311@N00"
"EF 20-35mm f/3.5-4.5 USM","70487217@N00"
"EF-S 17-85mm f/4-5.6 IS USM","10915400@N00"
"EF-S 18-55mm f/3.5-5.6","33309075@N00"
"EF 28-105mm f/3.5-4.5 II USM","85941054@N00"
"EF 28-135mm f/3.5-5.6 IS USM","576274@N21"
"EF 28-200mm f/3.5-5.6 USM","45456427@N00"
"EF 70-300mm f/4.5-5.6 DO IS USM","29365695@N00"
"EF 75-300mm f/4-5.6 III (&USM)","1406096@N25"
"EF 15mm f/2.8 Fisheye","959718@N21"
"EF 24mm f/2.8","347973@N23"
"EF 28mm f/1.8 USM","50825267@N00"
"EF 28mm f/2.8","84832920@N00"
"EF 35mm f/2","41313691@N00"
"EF 50mm f/1.4 USM","74546655@N00"
"EF 50mm f/1.8 II","99827226@N00"
"EF 85mm f/1.8 USM","77805784@N00"
"EF 100mm f/2 USM","1487229@N22"
"EF 135mm f/2.8 w/ Soft Focus","817949@N20"
